id,english,russian,domain,scenario,level,priority,phrase_type,family,source_id,source_title,tags
ophc2_baaea11e3b49,risk of visual loss in ocular trauma,фактор риска / риск: risk of зрительный потеря при глазной trauma,Core Ophthalmology,risk stratification,C2,A,risk pattern,ocular trauma,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_e329a46a52e2,ocular trauma presenting with flashes,глазной trauma: клиническое проявление — flashes,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,ocular trauma,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_3c6e1900ffed,risk of progression in optic neuritis,фактор риска / риск: risk of progression при неврит зрительного нерва,Core Ophthalmology,risk stratification,C2,A,risk pattern,optic neuritis,yanoff_duker,"Ophthalmology, Yanoff & Duker",risk;prognosis
ophc2_dd9afd4489ef,risk of progression in endophthalmitis,фактор риска / риск: risk of progression при эндофтальмит,Core Ophthalmology,risk stratification,C2,A,risk pattern,endophthalmitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",risk;prognosis
ophc2_6193a028c30f,diplopia associated with optic neuritis,"diplopia, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,diplopia,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_353a68f4e272,optic neuritis presenting with floaters,неврит зрительного нерва: клиническое проявление — floaters,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,optic neuritis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_1c6412e55fc1,endophthalmitis presenting with flashes,эндофтальмит: клиническое проявление — flashes,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,endophthalmitis,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",presentation
ophc2_54dbe8598580,anterior uveitis presenting with flashes,передний увеит: клиническое проявление — flashes,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,anterior uveitis,yanoff_duker,"Ophthalmology, Yanoff & Duker",presentation
ophc2_13995ceb2da6,chemical injury presenting with floaters,chemical injury: клиническое проявление — floaters,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,chemical injury,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_fe0bac1deb06,diplopia associated with anterior uveitis,"diplopia, ассоциированный/связан с передний увеит",Core Ophthalmology,differential diagnosis,C2,A,association pattern,diplopia,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",association;ddx
ophc2_fa51c70d12c8,anisocoria associated with optic neuritis,"anisocoria, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,anisocoria,kanski_clinical,"Clinical Ophthalmology: A Systematic Approach, Kanski",association;ddx
ophc2_d29bf3dfa3f2,ocular trauma presenting with ocular pain,глазной trauma: клиническое проявление — глазной pain,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,ocular trauma,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
ophc2_37c33cd2158a,ocular trauma presenting with photophobia,глазной trauma: клиническое проявление — photophobia,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,ocular trauma,wills_5min,Wills Eye Institute 5-Minute Ophthalmology Consult,presentation
ophc2_5634aa8eee06,risk of recurrence in acute angle closure,фактор риска / риск: risk of recurrence при острый угол закрытие,Core Ophthalmology,risk stratification,C2,A,risk pattern,acute angle closure,yanoff_duker,"Ophthalmology, Yanoff & Duker",risk;prognosis
ophc2_2114ff2f92c8,photophobia associated with optic neuritis,"photophobia, ассоциированный/связан с неврит зрительного нерва",Core Ophthalmology,differential diagnosis,C2,A,association pattern,photophobia,yanoff_duker,"Ophthalmology, Yanoff & Duker",association;ddx
ophc2_f205c918b804,optic neuritis presenting with photophobia,неврит зрительного нерва: клиническое проявление — photophobia,Core Ophthalmology,clinical presentation,C2,A,presentation pattern,optic neuritis,moorfields_manual,"Moorfields Manual of Ophthalmology, Third Edition",presentation
